adress,number,email,social_netwoks,undegroud,latitude,logitute,offical_site,id,name,img_url,content
"Москва , ш. Ленинградское, 9/1",74991506865 74991500024,leningrad@gbukgarmoniya.ru,https://www.facebook.com/gbukgarmoniya,"<a href=""tel:74991506865""",,,http://garmos.ru/parallax-5/,57,Отделение «Ленинградское»,https://www.2do2go.ru/uploads/1eb0f88b050ca684bbb0d7bcb10d1cef_w500_h500.jpg,"Отделение «Ленинградское» приглашает на свои занятия детей от 1,5 лет и взрослых. Основные направления: танцевальные студии – фламенко, современные, уличные, кавказские, восточные танцы; музыкальные и художественные студии – вокал, гитара, фортепиано, изобразительное искусство и валяние. Проводится работа, направленная на раннее развитие малышей, занятия с логопедом и подготовка к школе. Также вы можете посетить бесплатно концерты акустической музыки в содружестве рок-поэтов «Даждь».<br />"
"Москва , пл. Центральная, 1",74997624420 74997345351,dkzelenograd@culture.mos.ru,,"<a href=""tel:74997624420""",,,http://zelcc.ru/index.php?id=153,58,Культурный центр «Зеленоград»,https://www.2do2go.ru/uploads/17f462225a70e552e76bf8baaebb7b07_w500_h500.jpg,"С 1994 года Кульурный центр включён в систему государственных учреждений культуры города Москвы. В работе КЦ используются практически все формы и методы культурно-просветительской и досуговой деятельности. В учреждении – 117 клубных формирований и любительских объединений, в которых занимаются около 3 000 человек. Десять коллективов имеют почётное звание «Народный». Будучи в округе единственным учреждением культуры такого масштаба, КЦ является основной базой проведения практически всех культурно-массовых мероприятий городского значения. Кроме того, в центре проходят циклы клубных концертов, художественные выставки, научные конференции и симпозиумы. С большим успехом проходят вечера для молодёжи и людей старшего поколения, для людей с ограниченными возможностями и других социально не защищённых групп населения. Культурный центр «Зеленоград» пользуется у жителей города огромной популярностью. В течение года в центре проходят свыше 560 мероприятий, которые посещают около 430 тысяч зрителей."
"Москва , пр-т Свободный, 24 data-reactid=""754"">вход в библиотеку, левое крыло здания data-reactid=""757"">Новогиреево data-reactid=""763""><a href=""tel:79639957712"" data-reactid=""764"">79639957712</a> data-reactid=""767""><a href=""mailto:svobodniy24center@gmail.com"" data-reactid=""768"">svobodniy24center@gmail.com</a> data-reactid=""771""> 500 руб.",79639957712,svobodniy24center@gmail.com,https://vk.com/svobodniy24,"вход в библиотеку, левое крыло здания  <div class=""social-links""",,,,59, Театральный центр «Свободный 24»,https://www.2do2go.ru/uploads/858fef166c0bf8b47b3e0bb33a69420f_w500_h500.png,"Театральный центр «Свободный 24» открылся в ноябре 2017 года на базе библиотеки №96 в районе Новогиреево. Современный многофункциональный центр стремится сделать искусство ближе для каждого: профессиональным артистам предоставить пространство для творчества, зрителю – место, куда можно прийти и прикоснуться к магии сцены. Основное направление деятельности центра – театр, но кроме спектаклей на площадке также проходят концерты, тематические лектории, кинопоказы, творческие вечера и многое другое. В репертуаре «Свободного 24» можно найти постановки на любой вкус: драма, комедия, спектакли-квартирники, классика и её современные интерпретации."
"Москва , б-р Никитский, 8а",74956915698,,http://vk.com/domjour,Арбатская ,,,http://www.domjour.ru,60,Центральный Дом журналиста,https://www.2do2go.ru/uploads/810b9441f115d456d522b593726891bf_w500_h500.jpg,"На территории Домжура располагаются концертный зал, старинные Мраморный и Каминный залы, авангардный Белый зал, уютные Розовая и Голубая гостиные, Кинозал &laquo;Домжур&raquo;.&nbsp;Рестораны, кафе, уютная кофейня. В 1995 году в Домжуре начал работать первый в России пресс-центр, позднее реорганизованный в инфо-центр. Сегодня в Домжуре ежедневно проводятся пресс-конференции, устраиваются международные круглые столы, диспуты, творческие встречи, семинары, художественные выставки. Сохраняя традиции, Домжур проводит фестивали, презентации новых книг, творческие вечера писателей, журналистов и музыкальных коллективов. В прошлом году в ДЖ, как и каждый год проходили елки для детей. Мы привели троих детишек по три годика каждому, и старшего десяти лет. Наши двое и двое детей наших знакомых. На елке, дети получили массу удовольствия. Были в восторге от подарков. С точки зрения взрослого, а кроме меня с нами была наша бабушка, организация новогодней елки нам тоже понравилась. Мы ушли с ощущением из далекого детства, когда вера в чудо и сказку еще живет. Передать это чувство организаторам елки в ДЖ, удалось. Даже такие минусы, как дефицит пространства в вестибюле, толкотня ожидающих своих чад родителей покрываются созданной праздничной атмосферой. И еще, у нас вышел конфликт с администратором на входе в зал. Когда мы брали входные, на сказали, что родителям можно будет сопровождать детей. Когда же пришло время, нас не хотели пускать. Но, как оставить без присмотра четверых детей, троим из которых всего по три годика?! Нас пропустили, но вслед по хамски сказали, что из-за таких как мы, дети не могут полностью насладиться праздником. Выслушивать такой бред за свои же деньги непозволительно. В остальном претензий нет. Как зритель: здесь почти каждый день проходят интересные мероприятия - концерты, выставки, фестивали, спектакли - все очень разноплановое, каждый найдет в афише то, что будет по душе. Как организатор фестиваля: 2 раза проводили в Доме Журналиста детский фестиваль и один раз международный молодежный - очень теплый душевный прием, отличное отношение со стороны персонала и администрации, красивые залы. В концертном зале можно свободно передвигать стулья, используя освободившееся пространство под танцы, обсуждение группами или фуршет. &nbsp; Для идеальной картины не хватает только профессионального театрального света."
"Москва , г. Подольск, Революционный пр-т, 27",,,,,,,,61,Дом культуры имени Лепсе,https://www.2do2go.ru/uploads/f1e35e1d026b1b056848b4039228c45f_w500_h500.jpg,"Огромное внимание в своей работе Дом культуры уделяет работе с детьми, подростками, молодежью. Для старшего поколения Дом культуры стал олицетворением их юности, молодости, надежды. Многие коллективы являются призерами Областных и Всероссийских конкурсов: образцовый коллектив детская студия декоративно прикладного искусства «Городок мастеров» руководитель Ширяева Н.А. – Дипломанты 1 степени Областного конкурса «Глиняная игрушка Подмосковья»; солисты студии «Чайка» руководитель Немцова Ж.В. – Лауреаты 1 и 2 степени III Всероссийского конкурса детского и юношеского (любительского и профессионального) творчества «Москва-Подольск транзит» «Роза ветров-2015»; Театральный коллектив «Понедельник» руководитель Кузнецова Л.Ю. – лауреаты 1 степени Ш Всероссийского театрального проекта-конкурса «Дети играют для детей»; Студия лоскутного шитья «Акварель» руководитель Прокошина Е.В. – дипломанты Проекта «Душа России» (г. Токио, Япония) Коллектив Дома культуры всегда в поиске нового, интересного. В ДК действуют проекты для молодежи- «С улицы на сцену», для школьников – «Радуга творчества», для ветеранов — «Нам года, не беда», для семей города «Отдыхаем всей семьей»."
"Москва , ул. Филевский бульвар, 11а",74957382064,tks_brigantina@mail.ru,,"<a href=""tel:74957382064""",,,http://tksbrigantina.ru/dk-brigantina,62,Дом культуры «Бригантина»,https://www.2do2go.ru/uploads/f8a79825313f53ac4b20e1f0b3e01c91_w500_h500.jpg,"Дом культуры «Бригантина» — ровесник микрорайона Филевская пойма, отметившего в 2012 году свое 30-летие. В настоящее время ДК «Бригантина», предоставляет  услуги культурно-досуговой направленности для всех возрастных категорий жителей района. В доме культуры «Бригантина» имеется большой выбор клубных формирований. В их числе: изостудия, вокальные студии, хореографические студии, студии прикладного творчества, студии иностранных языков, студии раннего развития для малышей, шахматный клуб и другие. Помимо обеспечения деятельности  клубных формирований, дом культуры «Бригантина» регулярно проводит различные  культурно-массовые мероприятия в рамках праздничных, концертных, театральных, литературно-художественных и информационно-выставочных программ. <br />"
"Москва , обл. Московская, р-н Одинцовский, п. Часцы, ш. Можайское, 40Г data-reactid=""911"">вход в здание слева data-reactid=""917""><a href=""tel:74993919505"" data-reactid=""918"">74993919505</a> data-reactid=""921""><a href=""tel:79160359359"" data-reactid=""922"">79160359359</a> data-reactid=""925""><a href=""mailto:mail@shri-prakash-dham.org"" data-reactid=""926"">mail@shri-prakash-dham.org</a> data-reactid=""929""><a href=""http://shri-prakash-dham.org/"" target=""_blank noopener noreferrer"" data-reactid=""930"">shri-prakash-dham.org</a> data-reactid=""933""> 0 руб.",74993919505 79160359359,mail@shri-prakash-dham.org,https://vk.com/shri_prakash_dham,"вход в здание слева  <div class=""social-links""",,,http://shri-prakash-dham.org/,63,Центр «Шри Пракаш Дхам»,https://www.2do2go.ru/uploads/daca319a39a9d1bcd2d08a8d3a8c1f62_w500_h500.jpg,«Шри Пракаш Дхам» – это уютное пространство с теплой домашней атмосферой.<br /> Деятельность «Шри Пракаш Дхам» направлена на:
"Москва , ул. Снежная, 13/1",74991800011,molodegni.klub@yandex.ru,https://vk.com/klubmolodejny,"<a href=""tel:74991800011""",,,http://klub-molodejnyi.ru,64,Клуб «Молодежный»,https://www.2do2go.ru/uploads/0739f73418d2091897522fa47c1e0d01_w500_h500.jpg,"Клуб «Молодежный» существует с 1974 года и ведет свою деятельность в сфере организации культурно-досуговой деятельности.В клубе «Молодежный» работают кружки по направлениям: раннее развитие, подготовка к школе, английский язык, современный танец, театральное искусство, изостудия, хор и многое другое. Коллективы регулярно принимают участие в различных городских мероприятиях и являются лауреатами, призерами и победителями городских и районных конкурсов. Есть бесплатные кружки, на платных кружках предоставляются скидки льготным категориям граждан. Здесь каждый сможет найти себе занятие по вкусу.<br />"
"Москва , ул. Митинская, 31, корпус 1",74957512804,dkmitino@gmail.com,,Митино ,,,http://www.dkmitino.ru,65,Культурный центр «Митино»,https://www.2do2go.ru/uploads/38ebabb457fe6d27d134de214c4786af_w500_h500.jpg,"Культурный центр &laquo;Митино&raquo; распахнул свои двери для жителей &laquo;Митино&raquo; в 1994 году и&nbsp;вот уже 20 лет является&nbsp;центром творческого развития, полезного досуга и формирования&nbsp;здорового образа жизни.&nbsp; С первых дней работы &laquo;Митино&raquo;&nbsp;стал центром притяжения для всей семьи.&nbsp; Сюда приходят мамы с малышами, чтобы вместе постигать окружающий мир,&nbsp;дети дошкольного и школьного возраста, чтобы заниматься хореографией, музыкой, вокалом, спортом, а их бабушки,&nbsp;мамы и папы становятся участниками программ для взрослых, посвященных формированию здорового образа жизни и творческому досугу.&nbsp; В&nbsp; дни праздников, фестивалей, конкурсов, интерактивных программ, мастер-классов дети&nbsp;и взрослые, вместе становятся участниками событий.&nbsp;Для вовлечения в творческую жизнь подростков и молодежи создана программа &laquo;Город молодых&raquo;. &nbsp;"
"Москва , б-р Яна Райниса, 19, к.1",74994931467,info@vz-tushino.ru,https://vk.com/vz_tushino,Сходненская ,,,http://vz-tushino.ru,66,Выставочный зал «Тушино» ,https://www.2do2go.ru/uploads/af0c07c59fd16e5f524b6b3226886d11_w500_h500.jpg,"Выставочный зал «Тушино» представляет собой центр культуры, созданный для жителей СЗАО. Он начал свою работу в 1986 году. Внутреннее пространство культурного центра подразделено на 4 зала площадью 55, 60, 170 и 260 кв.м.  Основным видом работы является экспозиционно-выставочная и культурно-массовая деятельность. На сегодняшний момент в выставочном зале «Тушино» было проведено более 700 разноплановых выставок. Зрители смогли увидеть работы фотографов, живописцев, скульпторов, дизайнеров, графиков и мастеров декоративно-прикладного творчества. В выставочном зале периодически проходят концерты, творческие встречи, мастер-классы, презентации. В центре работают студии искусств, клубные объединения, позволяющие организовать досуг жителей округа. "
"Москва , Сибирский пр-д, 2/5",,,,,,,,67,Дом культуры «Стимул»,https://www.2do2go.ru/uploads/0fd08d426a16e14049d49397ae0eec62_w500_h500.jpg,Уникальное арт-пространство для погружения в разнообразную палитру творческих мастерских и лабораторий.<br />
"Москва , ул. Николая Химушина, 17/3",,,,,,,,68,Клуб «Лицей»,https://www.2do2go.ru/uploads/3c7d1f2fcadfb2cd62dd0b0fce201581_w500_h500.jpg,Всю информацию о работе клуба «Лицей» можно узнать по телефону: +7 (499) 167-18-01.
"Москва , ул. Большая Внуковская, 6",,,,,,,,69,Культурный центр «Внуково»,https://www.2do2go.ru/uploads/f3b452b42c21ace327d201c59d085132_w500_h500.jpg,Культурный центр «Внуково»<br />
"Москва , пос. Рогово, ул. Юбилейная, 1а",,,,"<a href=""http://kostyazaguzin.wix.com/dk-rogovo#!about-us/cjg9"" target=""_blank noopener noreferrer""",,,http://kostyazaguzin.wix.com/dk-rogovo#!about-us/cjg9,70,Дом культуры «Юбилейный»,https://www.2do2go.ru/uploads/75c128d52d3382b9812c0f104b29be74_w500_h500.jpg,
"Москва , ш. Дмитровское, 33, стр. 5",,,,,,,,71,Центр культуры и творчества «Нега»,https://www.2do2go.ru/uploads/f1e35e1d026b1b056848b4039228c45f_w500_h500.jpg,"Центр культуры и творчества «Нега» расположен в городе Москва Московской области по адресу: Дмитровское ш., 33, стр. 5. Всю информацию о работе Центра культуры и творчества «Нега» можно узнать по телефону: +7 (499) 976-58-95. Приглашаем всех жителей города посетить Центр культуры и творчества «Нега»!"
"Москва , ул. Василия Ботылева, 43",74997271873,,https://vk.com/dk_rublevo,Строгино ,,,http://www.рублево-арт.рф,72,ДК «Рублево»,https://www.2do2go.ru/uploads/4f9a85fcaad227cc7282e31aebbe08b4_w500_h500.jpg,"Дом культуры &laquo;Рублево&raquo; &ndash; одно из старейших клубных учреждений столицы, существующее второй век. Сто лет оно было &laquo;творческим&raquo; цехом Рублевской водопроводной станции, а теперь входит в систему государственных учреждений культуры Москвы.&nbsp; В ДК имеются концертный и кинозал, а также паркетные залы, где функционирует множество различных кружков и клубов как для детей, так и для взрослых.&nbsp; Концертный зал вместимостью 500 человек оборудован новой световой и музыкальной аппаратурой, позволяющей проводить концерты и спектакли самого высокого уровня. Малый зал на 100 мест оснащен видеопроекционной аппаратурой класса Blu-ray и звуковой класса Dolby Surround, а также уютными и удобными креслами для кинотеатров. Здесь успешно проходят не только концерты и спектакли, но и познавательные фильмы для школьников в рамках программ &laquo;Кинолетопись России&raquo; и &laquo;Кинокнига&raquo;. Гала-концерты конкурса военно-патриотической песни &laquo;Родная песня&raquo;, фестиваль сказителей &laquo;Сказочное Лукоморье&raquo; и Всероссийский театральный фестиваль &laquo;Веснушки&raquo; также заинтересуют гостей культурного учреждения и подарят им большое количество позитивных и приятных эмоций.&nbsp; ДК имеет обширную сеть клубов-филиалов. Это &laquo;Акварель&raquo;, &laquo;Baby Art центр&raquo;, &laquo;Радуга&raquo;, &laquo;Тренажерный зал&raquo; и &laquo;Школа танца&raquo;.<br/> <br/> Детский сектор осуществляет деятельность по эстетическому развитию, патриотическому, экологическому воспитанию молодежи, развитию семейного творчества и подготовке малышей к обучению в школе."
"Москва , ул. Островитянова, 15, корп. 1",74953301422 74997248605,3305183@mail.ru,http://vk.com/id200594910,Коньково ,,,http://otkrovenie-scena.ru,73,Культурный центр «Сцена»,https://www.2do2go.ru/uploads/91e12cac936b06e6ced82ae9811ba1b3_w500_h500.jpg,"&laquo;Сцена&raquo;&nbsp;&ndash; один из столичных культурных центров. Здесь демонстрируют свои таланты ученики нескольких детских и молодежных театральных коллективов и театр-студия&nbsp;&laquo;Откровение&raquo;. Гланой целью культурного центра&nbsp;&laquo;Сцена&raquo; является удовлетворение сформированных культурных запросов населения, развитие творческой инициативы и потенциала всех возрастных категорий зрителей и учеников. В центре культуры осуществляют свою деятельность:&nbsp;"
"Москва , Сумской проезд, 6а ",74953128000,infockis@mail.ru,https://www.facebook.com/centerkis,Чертановская ,,,http://www.centerkis.ru/,74,Центр культуры и спорта,https://www.2do2go.ru/uploads/c4efa1f3793e422bf1911f71257654a0_w500_h500.jpg,"Государственное бюджетное учреждение культуры города Москвы &laquo;Центр культуры и спорта&raquo; &ndash; учреждение культуры клубного типа первой категории. И это также один из крупных культурный центров г.Москвы, филиалы которого работают в трех районах: Бирюлево Западное, Чертаново Северное и Чертаново-Центральное. Деятельность ГБУК г. Москвы &laquo;ЦКиС&raquo; имеет следующие основные направления: организация досуга населения, в частности, проведение различный развлекательных, образовательных мероприятий и праздников, ярмарок, мастер-классов, а также развитие сети творческих групп, студий, кружков и т.д."
"Москва , пос. Кленово, ул. Центральная, д. 1",74958656383,,,"<a href=""tel:74958656383""",,,http://дк-кленово.рф,75,ДК «Кленово»,https://www.2do2go.ru/uploads/60df4314a72d94fd5a5cbaa7c0f3c837_w500_h500.jpg,"Представители Дворца культуры &laquo;Кленово&raquo; организуют и проводят разнообразные мероприятия, праздники, массовые гуляния и концерты, на которых выступают как местные, так и приглашенные музыкальные и танцевальные коллективы. На базе культурного учреждения действуют &ndash; вокальный ансамбль &laquo;Кленочек&raquo;, народный хореографический ансамбль &laquo;Вдохновение&raquo;, шейпинг-клуб, а также курсы английского языка для взрослых и детей. Любой житель или гость Кленово сможет найти занятие и развлечение по душе, а также принять участие в общественной жизни поселка."
"Москва , ул. Газопровод, 9А",74953818578,dkmayk@mail.ru,https://vk.com/dkmayakmsk,Улица Академика Янгеля ,,,http://дкмаяк.рф,76,ДК «Маяк»,https://www.2do2go.ru/uploads/00191b87ebd476fd6d1be529b06869e8_w500_h500.jpg,"Дом культуры «Маяк» занимается организацией культурных мероприятий, досуга для молодежи и отдыха жителей района Южное Чертаново.  На данный момент в учреждении находится 36 творческих студий, коллективов и кружков, рассчитанных на разные потребности и возраст. Среди них танцевальный клуб «Лабиринт», школа ирландских танцев Teire school, театральная студия и студия рукоделия «Золушка». В ДК постоянно проводятся мастер-классы, открытые уроки, концерты, показы мод, викторины, акции, вечера памяти и танцевальные батлы. Традиционным стал проект «Культурные выходные». Коллективы «Маяка» принимают участие в городских праздниках и организуют фестивали на государственные значимые даты. Источник фото: <a target=""_blank"" href=""https://vk.com/photo-48713523_413131333"" target=""_blank"">vk.com</a>"
"Москва , Электролитный проезд, дом 3, корпус 1.",74993176545,,https://vk.com/club54003437,Нагорная ,,,http://dknagorniy.ru/page.php?al=about,77,ДК «Нагорный»,https://www.2do2go.ru/uploads/fd73c0103f939c53fda8162be9514180_w500_h500.jpg,"ГБУК ДК &laquo;Нагорный&raquo; был основан в 1932 году как Дом культуры медеплавильного завода имени Молотова. Впоследствии учреждение было передано&nbsp;заводу МОСЭЛЕКТРОФОЛЬГА. На сегодняшний день центр является Государственным бюджетным учреждением культуры&nbsp;Южного административного округа Москвы. Дворец культуры занимается&nbsp;организацией досуга в праздничные&nbsp;и выходные дни, а также является официальным&nbsp;центром обучения бальным танцам для всех возрастных групп. Вечеринки в стиле &laquo;Ретро&raquo;, дискотеки,&nbsp;исторические балы, практики по спортивным или бальным танцам,&nbsp;концертные программы самодеятельности, мероприятия для ветеранов, тематические вечера и профессиональные праздники от культурного учреждения будут интересны не только детям, но и взрослым.<br/> <br/> В ДК &laquo;Нагорный&raquo; есть вокальные, танцевальные, театральные, спортивные, художественные и психологические кружки, на которых будут рады видеть жителей и гостей столицы, готовых постоянно развиваться и расширять свой кругозор."
"Москва , ш. Щелковское, вл. 10",74995009679,info@libschool.ru,https://vk.com/family_center_vao,стеклянный павильон ,,,https://liberty-school.ru,78,Семейный центр в Сиреневом саду,https://www.2do2go.ru/uploads/4e10e92dfa87fe2167ecda68cd80569e_w500_h500.jpg,"Основываясь на личном опыте и представлениях о жизни, свою деятельность в Семейный центре строят на здоровом альтруизме и человечном отношении к каждому посетителю.​ Девиз центра – «У нас каждый найдет себе занятие». А также здесь вы можете отметить день рождения, арендовать кабинет, лекторий, коворкинг.<br />"
"Москва , Сокольническая пл., 7",74992685600,dm-sokolniki@mail.ru,,Сокольники ,,,http://www.dm-sokolniki.ru,79,Дом молодежи «Сокольники»,https://www.2do2go.ru/uploads/2470124a2cfb5624fa703e933d7a14f4_w500_h500.jpg,"Дом молодежи &laquo;Сокольники&raquo; &ndash; центр, который более 20 лет помогает обрести близкое по духу занятие.&nbsp;Здесь царит атмосфера творчества, взаимной поддержки, живого дыхания науки.&nbsp; Развитие талантов детей и приобретение полезных навыков &ndash; вот на что направлены усилия учреждения. Опытные преподаватели помогут в выборе творческой студии.&nbsp; Дом молодежи не только обучает, но и принимает участие в фестивалях разного уровня. Среди достижений учеников &ndash; победы на конкурсах Москвы и Чемпионате стран СНГ по современным танцам в 2008 г.<br/><br/>Дом молодежи &laquo;Сокольники&raquo; активно развивается, ежегодно открывая новые студии, которые пользуются популярностью среди жителей одноименного района. Источник фото: культура.рф"
"Москва , Стремянный пер., 36",74959582831,,,Серпуховская ,,,http://www.rea.ru,80,Российский экономический университет имени Плеханова,https://www.2do2go.ru/uploads/d9b40771f4ad5dfb82b22bcdabaeeff2_w500_h500.jpg,"Университет&nbsp;функционирует как многопрофильный учебно-научный комплекс. Его основная задача - подготовка высококвалифицированных специалистов, сочетающих профессиональную компетентность, творческое научное начало и высокую культуру. В&nbsp;Университете работает свыше 160 профессоров, докторов наук, более 550 доцентов и кандидатов наук. Обучение свыше 13 тысяч студентов ведется более чем по 30 специальностям и специализациям. За годы работы подготовлено более 150 тысяч специалистов для многих отраслей народного хозяйства, сфер управления, науки, высшего образования."
"Москва , ш. Пятницкое, 9 data-reactid=""717""><a href=""tel:+79266602440"" data-reactid=""718"">+79266602440</a> data-reactid=""721""><a href=""mailto:hobbytime9@gmail.com"" data-reactid=""722"">hobbytime9@gmail.com</a> data-reactid=""725""> 800 руб.",+79266602440,hobbytime9@gmail.com,https://vk.com/club124948819,"<a href=""tel:+79266602440"" <div class=""social-links""",,,,81,Центр досуга Hobby Time,https://www.2do2go.ru/uploads/c4b1f4b3a1989f6040e77fe536b81a1f_w500_h500.jpg,"Hobby Time – не только детский центр. Двери центра открыты для всех – от мала до велика. Это место, куда можно прийти и отдохнуть, заняться чем-то новым, интересным и полезным. Место, в котором можно найти хобби по душе или дело всей жизни, пообщаться с хорошими людьми, поиграть в игры с друзьями, собраться всей семьей и подобрать занятие для ребёнка. У вас появилась пара часов свободного времени, хочется найти себе занятие по душе, но не знаете на чем остановиться или думаете куда можно пойти всей семьей, чтобы каждому было интересно? Приходите в Hobby Time, мастер-классы, лекции, игры и занятия на любой вкус и возраст ждут вас.<br />"
"Москва , ул. Вешняковская, 12Д",74953759904,dkveshnyakodskoy@culture.mos.ru,http://vk.com/dkvesh,"<a href=""tel:74953759904""",,,http://дкнавешняковской.рф/,82,Дом культуры «На Вешняковской»,https://www.2do2go.ru/uploads/f1e35e1d026b1b056848b4039228c45f_w500_h500.jpg,"Дом культуры «На Вешняковской» расположен в Москве по адресу: ул. Вешняковская, 12д. Всю информацию о работе Дома культуры «На Вешняковской» можно узнать по телефону: +7 (495) 375-99-04. Приглашаем всех жителей города посетить Дом культуры «На Вешняковской»!"
"Москва , с. Марфино, ул. Ильинская, стр. 28",74954089546 74986863425,mbuk.marfino@mail.ru,http://vk.com/dkmarfino,"<a href=""tel:74954089546""",,,http://www.dkmarfino.ru,83,Центр культуры и досуга «Марфино»,https://www.2do2go.ru/uploads/097996e31ec45ba38ebf8d28fccb77d6_w500_h500.jpg,"Центр культуры и досуга «Марфино» — это молодой, перспективный и творческий коллектив настоящих профессионалов своего дела. Деятельность Центра культуры направлена ​​на работу с населением, проведение культурно-массовых мероприятий, работу кружков, развитие художественной самодеятельности. Работа с детьми и молодежью является главным приоритетом Центра культуры.  За свое недолгое существование Центр культуры успел неоднократно заявить о себе на всевозможных конкурсах международного уровня и фестивалях областного и регионального значения. Центр культуры и досуга «Марфино» включает в себя три филиала: Дом культуры «Протасово», Дом культуры «Красная Горка», Дом культуры «Новосельцево». Центр может предоставить культурно-досуговые услуги более чем 10 тысячам жителей из 47 ближайших населенных пунктов."
"Москва , ул. Краснодонская, 24",74953519708,tkssputnik@culture.mos.ru,https://vk.com/tks_sputnik,"<a href=""tel:74953519708""",,,http://www.tks-sputnik.ru,84,Территориальная клубная система «Спутник»,https://www.2do2go.ru/uploads/33451a7bcd966d8f9f2d9024080337cb_w500_h500.jpg,"Подразделение ГБУК г. Москвы ТКС «Спутник» ведёт культурно-досуговую деятельность в районе Люблино города Москвы. На данный момент в подразделении работает школа робототехники Robotix.  ГБУК г. Москвы ТКС «Спутник» создано на базе Домов культуры «Спутник» и «Залесье» в 2012 году. В настоящий момент в него входит пять подразделений, ведущих свою работу в Рязанском, Люблинском и Нижегородском районах Москвы. На сегодняшний день в учреждении ведёт свою работу 31 творческий и спортивный коллектив для всех категорий населения."
"Москва , мкр Климовск, ул. Ленина, 20",74967621052,,,"<a href=""tel:74967621052""",,,,85,Дом культуры «Машиностроитель»,https://www.2do2go.ru/uploads/d64ce759b3702f2fca711a1f3009ff54_w500_h500.jpg,
"Москва , г. Коломна, ул. Кирова, 163",74966158668,mkuopck@yandex.ru,https://vk.com/club69933382,"<a href=""tel:74966158668""",,,http://mkuopck.ru,86,Организационно-просветительский центр культуры,https://www.2do2go.ru/uploads/a807efc13f7fa41d26bedbc15fbc48fa_w500_h500.jpg,"Муниципальное казенное учреждение «Организационно-просветительский центр культуры» создано на основании постановления администрации городского округа Коломна от 25 октября 2010 №2615 «О реорганизации муниципальных учреждений культуры» путем слияния двух структур — культурного центра «Девичье поле» и «Организационно-методического центра культуры». Основным предметом деятельности учреждения является деятельность в области культуры и туризма, направленная на сохранение, создание, распространение и освоение культурных ценностей в различных формах и видах, а также деятельность по формированию, продвижению и реализации туристского продукта. В настоящее время в Учреждении имеется четыре любительских объединения:"
"Москва , пгт. Белоозерский, ул. Молодежная, 34",74964451900,dk-garm@mail.ru,,"<a href=""tel:74964451900""",,,http://dkgarm.ru,87,Дом культуры «Гармония»,https://www.2do2go.ru/uploads/0f2635188c38e36d9c068b259c68e50c_w500_h500.jpg,"Основное здание Дома культуры «Гармония» — здание кинотеатра «Орбита» — было построено в 1970 году, где были созданы кинолекторий, клуб «Малыш» и работал филиал музыкальной школы. Белоозерское муниципальное предприятие «Гармония» было создано 11 декабря 1991 года под руководством А. В. Мильшина. В это время была создана сеть кружков для детей и разнообразный досуг для взрослых, проводятся регулярные мероприятия и концерты, приуроченные к праздничным датам. Сегодня в ДК успешно работают танцевальные ансамбли, театральная и вокальные студии, народный хор. Творческие коллективы являются постоянными участниками и лауреатами районных, региональных и международных конкурсов и смотров, а руководители Т. М. Воеводкина, С. В. Рыбина, Е. Н. Зотова и С. А. Можарова не раз награждались грамотами и ценными призами. БМБУ «ДК «Гармония» является единственным учреждением в Воскресенском районе, которое сохранило показ фильмов в формате кинотеатра."
